window_id,run_id,window_start_sec,window_end_sec,wheel_translation_sample_count,wheel_translation_availability_fraction,wheel_translation_error_abs_mean,wheel_translation_error_abs_p90,wheel_translation_error_rmse,wheel_translation_within_tolerance_fraction,wheel_translation_tolerance,wheel_rotation_sample_count,wheel_rotation_availability_fraction,wheel_rotation_error_abs_mean,wheel_rotation_error_abs_p90,wheel_rotation_error_rmse,wheel_rotation_within_tolerance_fraction,wheel_rotation_tolerance,imu_yaw_rate_sample_count,imu_yaw_rate_availability_fraction,imu_yaw_rate_error_abs_mean,imu_yaw_rate_error_abs_p90,imu_yaw_rate_error_rmse,imu_yaw_rate_within_tolerance_fraction,imu_yaw_rate_tolerance,lidar_translation_sample_count,lidar_translation_availability_fraction,lidar_translation_error_abs_mean,lidar_translation_error_abs_p90,lidar_translation_error_rmse,lidar_translation_within_tolerance_fraction,lidar_translation_tolerance
00_normal_p2l_v2:0030,00_normal_p2l_v2,25.989999999999977,26.389999999999976,20.0,1.0,5.31427968256476e-05,4.8746541610991737e-05,6.580033224330856e-05,1.0,0.06,20.0,1.0,0.021736709923621915,0.02157503373371378,0.024498183016310873,1.0,0.08,40.0,1.0,0.00296462657956252,0.0023693161974625288,0.010040342532278729,1.0,0.08,6.0,1.0,0.02801543054220308,0.0441004868468135,0.03151824937850684,1.0,0.12
00_normal_p2l_v2:0031,00_normal_p2l_v2,26.189999999999976,26.589999999999975,20.0,1.0,0.0011069875844612969,0.0032675871736748937,0.001720746790621378,1.0,0.06,20.0,1.0,0.05178533090983697,0.1361915638186237,0.07399924207599463,0.75,0.08,40.0,1.0,0.037177205671627404,0.12295462263024542,0.06293581149622943,0.8,0.08,6.0,1.0,0.02221867175286317,0.039672745677896123,0.026605522478843707,1.0,0.12
00_normal_p2l_v2:0032,00_normal_p2l_v2,26.389999999999976,26.789999999999974,20.0,1.0,0.003014780986665509,0.0038834398846632314,0.003237630970579139,1.0,0.06,20.0,1.0,0.03920191428427829,0.1361915638186237,0.07101075244329251,0.75,0.08,40.0,1.0,0.03438274338007734,0.12295462263024542,0.06213012524333109,0.8,0.08,6.0,1.0,0.017212609152955725,0.03274151617602625,0.021639523608073297,1.0,0.12
00_normal_p2l_v2:0033,00_normal_p2l_v2,26.589999999999975,26.989999999999974,20.0,1.0,0.0038806606450460857,0.0038834398846632314,0.0038806692764482733,1.0,0.06,20.0,1.0,2.849803139435142e-05,3.525996037334889e-05,3.9568784097781134e-05,1.0,0.08,40.0,1.0,0.0001639939220548621,0.0002816785485281526,0.00018987059682761868,1.0,0.08,6.0,1.0,0.014828217923046838,0.021339607939276292,0.01580858803482156,1.0,0.12
00_normal_p2l_v2:0034,00_normal_p2l_v2,26.789999999999974,27.189999999999973,20.0,1.0,0.0038812377459925204,0.003882352707677464,0.0038812378403943882,1.0,0.06,20.0,1.0,9.66033554410245e-06,1.9486209664348887e-05,1.1737307228437521e-05,1.0,0.08,40.0,1.0,0.0001775475730773607,0.0003437863658412893,0.0002149757079745533,1.0,0.08,6.0,1.0,0.0199009166291181,0.028601547359927454,0.02121151206753637,1.0,0.12
00_normal_p2l_v2:0035,00_normal_p2l_v2,26.989999999999974,27.389999999999972,20.0,1.0,0.0038797008540710372,0.0038808960541356075,0.0038797009623502683,1.0,0.06,20.0,1.0,1.0962813013708217e-05,2.1733692191061583e-05,1.335935494101035e-05,1.0,0.08,40.0,1.0,0.00017240345172124598,0.00035766849325389043,0.00022169759250672424,1.0,0.08,6.0,1.0,0.026078911084228367,0.04864067899087715,0.032490037282859326,1.0,0.12
00_normal_p2l_v2:0036,00_normal_p2l_v2,27.189999999999973,27.58999999999997,20.0,1.0,0.02586329045537509,0.07916575423084934,0.04134202113465395,0.85,0.06,20.0,1.0,0.025186674457086465,0.08223414877333787,0.04728972610171155,0.9,0.08,40.0,1.0,0.019018769975204637,0.06839844485860701,0.033889419907183714,0.975,0.08,7.0,1.0,0.034286126708912186,0.06418024990705848,0.04225860937445178,1.0,0.12
00_normal_p2l_v2:0037,00_normal_p2l_v2,27.389999999999972,27.78999999999997,20.0,1.0,0.02410538538399501,0.07916575423084934,0.04125802786234428,0.85,0.06,20.0,1.0,0.02577710771713625,0.08223414877333787,0.04735153576216309,0.9,0.08,40.0,1.0,0.019953253540661502,0.06839844485860701,0.03408346198872038,0.975,0.08,7.0,1.0,0.027390805093175537,0.05904020695062885,0.03490489857480223,1.0,0.12
00_normal_p2l_v2:0038,00_normal_p2l_v2,27.58999999999997,27.98999999999997,20.0,1.0,0.00018154799586773707,2.170077092113726e-05,0.0007649235926187024,1.0,0.06,20.0,1.0,0.0005992639033902243,0.0001240020750645699,0.0024186587843116852,1.0,0.08,40.0,1.0,0.001071463819841181,0.0008721078839979843,0.003636240638021112,1.0,0.08,6.0,1.0,0.02014743835087587,0.031026385423295614,0.021996721472841027,1.0,0.12
00_normal_p2l_v2:0039,00_normal_p2l_v2,27.78999999999997,28.18999999999997,20.0,1.0,5.983265789513284e-14,1.981439689282658e-13,1.0747742187644301e-13,1.0,0.06,20.0,1.0,3.736436665119858e-15,1.220204493002083e-14,6.9215614727951726e-15,1.0,0.08,40.0,1.0,0.0001267502450327754,0.0002485154474331446,0.00015776826237268846,1.0,0.08,6.0,1.0,0.020603901546458896,0.031026385423295614,0.022860967374111727,1.0,0.12
